TIPO;DESCRIPCIÓN DE REGULACIÓN;ENLACE A REGULACIÓN
Reglamentaria;Reforma IV del Reglamento de Carrera y Escalafón del Personal Académico de la Universidad de las Fuerzas Armadas — ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2024/09/ESPE-HCU-RES-2024-096.pdf
Reglamentaria;Reforma III del Reglamento de Carrera y Escalafón del Personal Académico de la Universidad de las Fuerzas Armadas — ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2023/04/ESPE-HCU-RES-2023-034-DEFINI.pdf
Reglamentaria;Reforma II del literal d. del Art. 79 del Reglamento de Carrera y Escalafón del Personal Académico de la Universidad de las Fuerzas Armadas — ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2023/04/ESPE-HCU-RES-2023-025-DEF.pdf
Reglamentaria;Reforma al Reglamento de Carrera y Escalafón del Personal Académico de la Universidad de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2023/03/RESOLUCION-2022-080.pdf
Reglamentaria;Reglamento Interno de Creación y Administración de los Laboratorios.;https://usgn.espe.edu.ec/wp-content/uploads/2022/09/Resolucion-ESPE-HCU-RES-2022-059-4.pdf
Reglamentaria;Reglamento para Otorgar Doctorado Honoris Causa y Condecoraciones para personal Militar, Académico, Estudiantes Personal Administrativo , Trabajadores y Personal Externo de la Universidad de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2022/06/RESOLUCION-2022-046.pdf
Reglamentaria;Reglamento Interno para el funcionamiento del Comité de Tecnologías de la Información y Comunicaciones de la Universidad de las Fuerzas Armadas – ESPE .;https://usgn.espe.edu.ec/wp-content/uploads/2022/02/RESOLUCION-2022-017.pdf
Reglamentaria;Reglamento de Prácticas Preprofesionales de la Universidad de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2022/02/RESOLUCION-2022-016.pdf
Reglamentaria;Reglamento Orgánico de Sedes, Extensiones y Unidades Académicas Especiales de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2021/10/RESOLUCION-2021-085-1.pdf
Reglamentaria;Reforma al Reglamento de Becas y Ayudas Económicas de la Universidad de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2022/08/RESOLUCION-2022-048.pdf
Reglamentaria;Reglamento del Honorable Consejo Universitario y otros Cuerpos Colegiados de la Universidad de las Fuerzas Armadas – ESPE, Codificado.;https://usgn.espe.edu.ec/wp-content/uploads/2021/07/RESOLUCION-2021-045.pdf
Reglamentaria;Reglamento Interno para la asignación, uso y control de la infraestructura y servicios de tecnologías de información y comunicaciones de la Universidad de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2020/12/RESOLUCION-2020-109.pdf
